tip,morph
I26282_JR137_Polemonium_micranthum,micranthum
I23899_JR133_Polemonium_pulcherrimum_lindleyi,pulcherrimum_lindleyi
I23916_JR128_Polemonium_pulcherrimum_pulcherrimum,pulcherrimum_pulcherrimum
I23925_JRRS20_Polemonium_pulcherrimum_pulcherrimum,pulcherrimum_pulcherrimum_2
I23883_JRRS16_Polemonium_pulcherimum_shastense,pulcherrimum_shastense
I20025_JR50_Polemonium_boreale,boreale
I23923_JR009_Polemonium_californicum,californicum
I23904_JRRS18_Polemonium_californicum,californicum_2
I23902_JR101_Polemonium_delicatum,delicatum
I26285_JR136_Polemonium_delicatum,delicatum_2
I23907_JR95_Polemonium_pectinatum,pectinatum
I23908_JR104_Polemonium_acutiflorum,acutiflorum
I23896_JR001_Polemonium_occidentale_lacustre,occidentale_lacustre
I23920_JRRS17_Polemonium_occidentale_occidentale,occidentale_occidentale
I23901_JR091_Polemonium_occidentale_occidentale,occidentale_occidentale_2
I23909_JR010_Polemonium_reptans,reptans
I20029_JR11_Polemonium_reptans,reptans_2
I23891_JR003_Polemonium_vanbruntiae,vanbruntiae
I20030_JRVB3_Polemonium_vanbruntiae,vanbruntiae_2
I23918_JR002_Polemonium_vanbruntiae,vanbruntiae_3
I23895_JRVB2_Polemonium_vanbruntiae,vanbruntiae_4
I20028_JR8_Polemonium_elegans,elegans
I26284_JRRS15_Polemonium_eddyense,eddyense
I23906_JRRS22_Polemonium_eximium,eximium
I23922_JRRS24_Polemonium_chartaceum,chartaceum
I23919_JR107_Polemonium_chartaceum,chartaceum_2
I23890_JRRS14_Polemonium_eximium,eximium_2
I23898_JRRS25_Polemonium_viscosum,aff._viscosum_sp._nov.
I23917_JR124_Polemonium_viscosum,aff._viscosum_sp._nov._2
I23926_JR108_Polemonium_nevadense,nevadense
I23897_JR5148_Polemonium_elusum,elusum
I23927_JR5496_Polemonium_elusum,elusum_2
I23921_JR109_Polemonium_viscosum,confertum
I26283_JR037_Polemonium_viscosum,viscosum
I23914_JR098_Polemonium_brandegeii,brandegeei
I23912_JR112_Polemonium_pauciflorum,pauciflorum
I20026_JR32_Polemonium_filicinum,apachianum
I23903_JR102_Polemonium_flavum,flavum
I23892_JR038_Polemonium_foliosissimum,filicinum
I20027_JR46_Polemonium_alpinum,albiflorum
I23889_JR041_Polemonium_molle,foliosissimum
I23913_JR040_Polemonium_molle,foliosissimum_2
I23893_JR122_Ericales_Fouquieriaceae_Fouquieria_purpusii,foliosissimum_3
I23924_JRRS8_Polemonium_carneum,carneum
I23905_JRRS10_Polemonium_carneum,carneum_2
